Instructiune,Data
changeProfessorClass,10-05-2021 15:27:08
displaySubjectProfessor,10-05-2021 15:27:08
displaySubjectProfessor,10-05-2021 15:27:08
displayYearOfBirthStudent,10-05-2021 15:27:08
calculateSeniorityTeacher,10-05-2021 15:27:08
calculateSeniorityTeacher,10-05-2021 15:27:08
displayFatherVocal,10-05-2021 15:27:08
sortAlphabeticallyStudent,10-05-2021 15:27:08
addStudentAtNote,10-05-2021 15:27:08
removeStudentAtNote,10-05-2021 15:27:08
removeAllStudentAtNote,10-05-2021 15:27:08
changeProfessorClass,10-05-2021 15:28:43
displaySubjectProfessor,10-05-2021 15:28:43
displaySubjectProfessor,10-05-2021 15:28:43
displayYearOfBirthStudent,10-05-2021 15:28:43
calculateSeniorityTeacher,10-05-2021 15:28:43
calculateSeniorityTeacher,10-05-2021 15:28:43
displayFatherVocal,10-05-2021 15:28:43
sortAlphabeticallyStudent,10-05-2021 15:28:43
addStudentAtNote,10-05-2021 15:28:43
removeStudentAtNote,10-05-2021 15:28:43
removeAllStudentAtNote,10-05-2021 15:28:43
